,company_name,company_type,company_loc,company_size,job_name,job_salary,edu_level,emp_type,company_score,No
148,宁夏天地奔牛实业集团有限公司,国企,银川,1000-9999人,数据分析及后台开发工程师,8K-10K,本科,全职,357.52,149.0
149,山东金麒麟股份有限公司,上市公司,德州,1000-9999人,材料分析及测试工程师,5K-6K,本科,全职,357.30865,150.0
150,OPPO广东移动通信有限公司,民营,成都,1000-9999人,高数据分析工程师（成都）,20K-35K,本科,全职,357.04,151.0
151,广州银行股份有限公司信用卡中心,国企,广州,1000-9999人,数据分析师（运营方向）,10K-20K,本科,全职,356.572,152.0
152,马上消费金融股份有限公司,股份制企业,深圳,1000-9999人,催收策略分析师,13K-26K,本科,全职,356.332,153.0
153,中国民生银行信用卡中心,民营,北京,1000-9999人,资产管理部风险数据分析专家,薪资面议,硕士,全职,354.0,154.0
154,格林豪泰酒店（中国）有限公司,外商独资,上海,10000人以上,BI数据开发工程师,15K-20K,本科,全职,353.28,155.0
155,中国民生银行信用卡中心,民营,北京,1000-9999人,计划财务部统计分析岗,薪资面议,本科,全职,353.112,156.0
156,宁夏天地奔牛实业集团有限公司,国企,银川,1000-9999人,数据分析及后台开发工程师,4K-6K,本科,全职,352.32,157.0
157,广州多益网络股份有限公司,民营,广州,1000-9999人,大数据开发工程师,15K-25K,本科,全职,350.856,158.0
158,雪球(北京)技术开发有限公司,外商独资,北京,100-499人,资深Java开发工程师,25K-40K,本科,全职,350.496,159.0
159,中芯国际集成电路制造(上海)有限公司,其它,上海-浦东新区,1000-9999人,数据分析软件开发工程师,10K-20K,本科,全职,350.0,160.0
160,交通银行太平洋信用卡中心,上市公司,上海,1000-9999人,数据分析（风控）,7K-13K,本科,全职,348.0,161.0
161,中移物联网有限公司,其它,重庆,10000人以上,数据战略分析工程师-信息安全部,8K-12K,本科,全职,348.0,162.0
162,北京卡洛其咨询有限公司,民营,北京,1000-9999人,初级业务分析师(J13003),8K-10K,本科,全职,348.0,163.0
163,WeSure微保,合资,深圳-南山区,100-499人,数据产品经理,15K-30K,不限,全职,347.204,164.0
164,青岛海信电器股份有限公司-多媒体研发部,国企,武汉-东湖新技术开发区,10000人以上,java后台开发工程师,8K-16K,本科,全职,344.176,165.0
165,京东数字科技控股有限公司  ,外商独资,北京,1000-9999人,数据分析师09111136,20K-30K,本科,全职,344.0,166.0
166,阿甲科技有限公司,民营,无锡,1000-9999人,大数据开发工程师（接受实习生）,4K-6K,中专,全职,344.0,167.0
167,广东联通,国企,深圳,10000人以上,数据分析岗,校招,本科,校园,343.42123,168.0
168,广东联通,国企,佛山,10000人以上,数据挖掘岗,校招,本科,校园,343.42123,169.0
169,上海电科集团,国企,上海,500-999人,技术工程师(能源数据分析),校招,,校园,341.36157,170.0
170,徐工集团,国企,徐州,10000人以上,数据分析工程师,校招,本科,校园,341.28946,171.0
171,中电28所,国企,南京,1000-9999人,B05-数据挖掘分析师,校招,硕士,校园,341.2174,172.0
172,中移（上海）信息,国企,上海,500-999人,人工智能/数据分析,校招,,校园,341.07333,173.0
173,北京造化,民营,北京,500-999人,数据分析师,校招,本科,校园,341.0013,174.0
174,中国联通,国企,东莞,10000人以上,数据挖掘岗,校招,,校园,340.85175,175.0
