,Unnamed: 0,No,company_name,company_type,company_loc,company_size,job_name,work_exp,job_welfare,job_salary,edu_level,emp_type,company_score,low_salary,high_salary,avg_salary,company_city
3298,3298,3299,安徽幻维网络科技有限公司,民营,合肥-蜀山区,100-499人,急聘 Java小程序开发学徒  双休 五险一金,不限,"不加班,每年多次调薪,周末双休,五险一金,绩效奖金,加班补助,全勤奖,带薪年假",4K-6K,不限,全职,448.0,4000.0,6000.0,5000.0,合肥
3299,3299,3300,上海麦亲信息科技有限公司,合资,上海,100-499人,高级Java开发工程师 ,3-5年,"五险一金,弹性工作,餐补,节日福利,周末双休,员工旅游,不加班,定期团建",15K-25K,本科,全职,447.836,15000.0,25000.0,20000.0,上海
3300,3300,3301,维罗软件技术有限公司,民营,上海-黄浦区,100-499人,Java开发工程师（上海）,3-5年,"五险一金,绩效奖金,带薪年假,节日福利,加班补助",10K-18K,大专,全职,447.63199999999995,10000.0,18000.0,14000.0,上海
3301,3301,3302,山大地纬软件股份有限公司,股份制企业,济南,1000-9999人,Java开发工程师,1-3年,"五险一金,通讯补助,节日福利,绩效奖金,包住,包吃,免费班车,员工旅游",6K-10K,本科,全职,447.582,6000.0,10000.0,8000.0,济南
3302,3302,3303,厦门和谦行网络科技有限公司,不限,厦门,20-99人,Java开发实习 人才储备 储备干部,无经验,"五险一金,绩效奖金,餐补,周末双休",4K-6K,大专,全职,447.44727,4000.0,6000.0,5000.0,厦门
3303,3303,3304,深圳市众诚品业科技有限公司,民营,深圳,100-499人,Java高级软件开发工程师,5-10年,"五险一金,年底双薪,绩效奖金,带薪年假,定期体检,员工旅游,节日福利",15K-30K,本科,全职,447.34,15000.0,30000.0,22500.0,深圳
3304,3304,3305,深圳市海鸿天贸易有限公司,民营,深圳,100-499人,初级java开发实习生,1-3年,"数据库,图像处理,云计算,数据挖掘,五险一金,年底双薪,绩效奖金,每年多次调薪,员工旅游,项目奖金,周末双休,节日福利",4.5K-7.5K,大专,全职,447.24425999999994,4500.0,7500.0,6000.0,深圳
3305,3305,3306,北京高阳金信信息技术有限公司,外商独资,深圳,100-499人,JAVA开发工程师（深圳）,1-3年,"五险一金,绩效奖金,带薪年假,员工旅游,通讯补助",8K-10K,本科,全职,447.11755,8000.0,10000.0,9000.0,深圳
3306,3306,3307,瀚海新创(北京)集团有限公司,股份制企业,北京,100-499人,Java开发工程师（web端开发）,1-3年,"五险一金,绩效奖金,股票期权,员工旅游,节日福利",8K-10K,本科,全职,447.024,8000.0,10000.0,9000.0,北京
3307,3307,3308,东莞市乐游网络科技有限公司,民营,东莞,20-99人,高级JAVA服务器开发工程师（东莞上班）,1-3年,"五险一金,加班补助,全勤奖,包住,带薪年假,节日福利",8K-15K,大专,全职,446.816,8000.0,15000.0,11500.0,东莞
3308,3308,3309,湖南智慧融通科技有限公司,民营,长沙,20-99人,java开发中级工程师,3-5年,"弹性工作,年终分红,餐补,员工旅游,节日福利,股票期权,绩效奖金,五险一金",8K-12K,大专,全职,446.784,8000.0,12000.0,10000.0,长沙
3309,3309,3310,大连新唯科技有限公司,不限,大连-高新园区,不限,java开发工程师,3-5年,"五险一金,创业公司,周末双休,定期团建",8K-15K,大专,全职,446.668,8000.0,15000.0,11500.0,大连
3310,3310,3311,聊城优路教育科技有限公司,股份制企业,聊城,20人以下,java开发工程师,1-3年,"五险一金,年底双薪,带薪年假,绩效奖金,股票期权",8K-10K,大专,全职,446.48648,8000.0,10000.0,9000.0,聊城
3311,3311,3312,重庆哈哈净有害生物防治有限公司,不限,成都,不限,Java开发工程师/每年涨薪/国内外旅游,不限,,4K-6K,不限,全职,446.4,4000.0,6000.0,5000.0,成都
3312,3312,3313,珠海乐图软件有限公司,民营,珠海,20-99人,Java开发工程师,1-3年,"五险一金,绩效奖金,餐补,带薪年假,弹性工作,员工旅游,节日福利",8K-10K,本科,全职,446.284,8000.0,10000.0,9000.0,珠海
3313,3313,3314,紫光云数科技有限公司,合资,北京,1000-9999人,资深.net开发,3-5年,"节日福利,周末双休,五险一金,绩效奖金,定期体检",12K-20K,本科,全职,446.28115999999994,12000.0,20000.0,16000.0,北京
3314,3314,3315,山东国子软件股份有限公司,民营,济南,500-999人,JAVA/C#/.net/Android/ios开发工程师,无经验,"数据库,五险一金,绩效奖金,全勤奖,交通补助,餐补,房补,通讯补助,节日福利",6K-8K,本科,全职,446.07525999999996,6000.0,8000.0,7000.0,济南
3315,3315,3316,河南柏恩众禾新材料有限公司,其它,许昌,100-499人,java开发工程师,1-3年,"周末双休,五险一金,绩效奖金,带薪年假,包吃,包住,免费班车",4K-6K,大专,全职,446.0351,4000.0,6000.0,5000.0,许昌
3316,3316,3317,山东蓝创网络技术股份有限公司,民营,潍坊,100-499人,Java开发工程师,1-3年,"五险一金,绩效奖金,年终分红,餐补,员工旅游,节日福利,通讯补助,周末双休",4K-8K,本科,全职,445.97015,4000.0,8000.0,6000.0,潍坊
3317,3317,3318,新余高新区金泰亚盛咨询有限公司,民营,杭州,20-99人,java开发工程师,1-3年,"加班补助,五险一金,周末双休,弹性工作,餐补,免费班车",10K-15K,本科,全职,445.9574,10000.0,15000.0,12500.0,杭州
3318,3318,3319,深圳特为科创信息技术有限公司,民营,深圳,100-499人,java开发工程师/java中级工程师,3-5年,"节日福利,周末双休,五险一金,年底双薪,加班补助,交通补助,带薪年假,定期体检",10K-20K,大专,全职,445.56522,10000.0,20000.0,15000.0,深圳
3319,3319,3320,深圳市理想智荟软件有限公司,股份制企业,深圳-龙岗区,20-99人,java开发实习生（可包住）,不限,"周末双休,年底双薪,包住,员工旅游,节日福利,每年多次调薪",6.5K-9.5K,大专,实习,445.50635,6500.0,9500.0,8000.0,深圳
3320,3320,3321,大连至简信息技术有限公司,民营,大连,500-999人,Java开发实习生（管住）,不限,"五险一金,周末双休,绩效奖金,交通补助,包住",2K-4K,不限,全职,445.50552000000005,2000.0,4000.0,3000.0,大连
3321,3321,3322,天津未来冥想科技有限公司,股份制企业,天津-滨海新区,20-99人,Java开发工程师助理,不限,"五险一金,周末双休,加班补助,节日福利,餐补,带薪年假,绩效奖金",4K-6K,本科,全职,445.3846,4000.0,6000.0,5000.0,天津
3322,3322,3323,河北卓蓝科技有限公司,民营,石家庄-裕华区,20-99人,java开发工程师,3-5年,"五险一金,绩效奖金,全勤奖,带薪年假,员工旅游,年底双薪,加班补助",6K-8K,大专,全职,445.264,6000.0,8000.0,7000.0,石家庄
3323,3323,3324,聚嘉科技(贵安新区)有限公司,股份制企业,贵阳-白云区,100-499人,java开发工程师,1-3年,"五险一金,周末双休,绩效奖金,带薪年假,节日福利,全勤奖,弹性工作",8K-12K,本科,全职,445.18300000000005,8000.0,12000.0,10000.0,贵阳
3324,3324,3325,江西云成科技有限公司,民营,南昌,20-99人,Java+人工智能开发实习生,不限,"五险一金,包住,绩效奖金,带薪年假,弹性工作,补充医疗保险,员工旅游,节日福利",3K-5.5K,中专,全职,445.0,3000.0,5500.0,4250.0,南昌
3325,3325,3326,上海贝业新兄弟供应链管理有限公司,合资,上海-松江区,1000-9999人,java开发工程师,3-5年,"绩效奖金,包住,免费班车,节日福利,周末双休,带薪年假,餐补",10K-15K,本科,全职,444.8966,10000.0,15000.0,12500.0,上海
3326,3326,3327,上海卉群企业管理咨询有限公司,民营,上海,100-499人,java开发工程师,3-5年,"周末双休,五险一金,弹性工作,带薪年假,节日福利",8K-15K,大专,全职,444.82665999999995,8000.0,15000.0,11500.0,上海
3327,3327,3328,北京弘毅知行科技有限公司,民营,北京,20-99人,Java开发工程师-中高级,1-3年,"五险一金,年底双薪,绩效奖金,加班补助,全勤奖,交通补助,餐补,高温补贴",10K-15K,本科,全职,444.776,10000.0,15000.0,12500.0,北京
3328,3328,3329,龙湾科技(北京)有限公司,民营,重庆,20人以下,java开发工程师,3-5年,"周末双休,五险一金,带薪年假,节日福利,餐补,交通补助,通讯补助",10K-15K,大专,全职,444.70587,10000.0,15000.0,12500.0,重庆
3329,3329,3330,江西云成科技有限公司,民营,南昌,20-99人,Java开发设计助理/提供住宿,不限,"五险一金,包住,绩效奖金,带薪年假,弹性工作,补充医疗保险,员工旅游,节日福利",3K-5K,大专,全职,444.6316,3000.0,5000.0,4000.0,南昌
3330,3330,3331,上海安硕信息技术股份有限公司,上市公司,苏州,10000人以上,JAVA开发工程师,1-3年,"五险一金,绩效奖金,股票期权,餐补,带薪年假,定期体检,节日福利",6K-12K,本科,全职,444.60547,6000.0,12000.0,9000.0,苏州
3331,3331,3332,江苏正瑞信息科技有限公司,民营,南京,20-99人,Java高级开发工程师,3-5年,"Java,java开发,高级软件开发,软件开发,项目经理,五险一金,弹性工作,周末双休,餐补,带薪年假",10K-18K,大专,全职,444.528,10000.0,18000.0,14000.0,南京
3332,3332,3333,河南国超电子商务有限公司,民营,郑州,100-499人,Java开发工程师,3-5年,"弹性工作,全勤奖,加班补助,绩效奖金,五险一金,周末双休,员工旅游,节日福利",6K-12K,大专,全职,444.31199999999995,6000.0,12000.0,9000.0,郑州
3333,3333,3334,乌鲁木齐市恒和久远信息技术有限公司,民营,乌鲁木齐,20-99人,JAVA高级软件开发工程师,不限,"包住,交通补助,餐补,通讯补助,带薪年假,定期体检,节日福利,五险",8K-12K,大专,全职,444.1714,8000.0,12000.0,10000.0,乌鲁木齐
3334,3334,3335,税鸽飞腾信息科技有限公司,民营,杭州,100-499人,Java开发工程师,3-5年,"五险一金,周末双休,年底双薪,餐补,弹性工作,带薪年假,定期体检,节日福利",8K-16K,本科,全职,444.1543,8000.0,16000.0,12000.0,杭州
3335,3335,3336,大连同方软银科技股份有限公司,上市公司,张家口,100-499人,JAVA开发工程师-张家口,不限,"绩效奖金,加班补助,五险一金,带薪年假,节日福利,交通补助,餐补",4K-8K,大专,全职,444.05515,4000.0,8000.0,6000.0,张家口
3336,3336,3337,福安市豆豆游软件开发有限公司,民营,宁德,20人以下,JAVA游戏软件开发程序员,不限,"Android,C/C++,IOS,Unity3d,MySQL,JAVA",4K-6K,本科,全职,444.0,4000.0,6000.0,5000.0,宁德
3337,3337,3338,山东摩西网络科技有限公司,民营,烟台,20-99人,java开发实习生,无经验,"弹性工作,节日福利",1.5K-2K,本科,实习,443.92132999999995,1500.0,2000.0,1750.0,烟台
3338,3338,3339,寰宇优才教育科技(北京)有限公司,民营,北京,100-499人,Java软件开发初级工程师,不限,"周末双休,定期体检,员工旅游,节日福利,带薪年假,交通补助,餐补,房补",8K-10K,不限,全职,443.88599999999997,8000.0,10000.0,9000.0,北京
3339,3339,3340,襄阳仁鼎文化传播有限公司,股份制企业,襄阳,100-499人,java开发工程师,1-3年,"周末双休,五险一金,年底双薪,带薪年假,定期体检,员工旅游,节日福利",6K-10K,本科,全职,443.83405,6000.0,10000.0,8000.0,襄阳
3340,3340,3341,瀚高基础软件股份有限公司,股份制企业,济南,100-499人,应用开发支持工程师（Java方向）,3-5年,"数据库,Linux,Java,周末双休,五险一金,交通补助,通讯补助,年底双薪,每年多次调薪,无试用期,定期体检",8K-12K,大专,全职,443.77353,8000.0,12000.0,10000.0,济南
3341,3341,3342,北京中能博泰科技有限公司,民营,武汉-武昌区,100-499人,中级java开发工程师,3-5年,"周末双休,五险一金,绩效奖金",10K-15K,本科,全职,443.51697,10000.0,15000.0,12500.0,武汉
3342,3342,3343,依柯力信息科技(上海)股份有限公司,股份制企业,广州-番禺区,20-99人,JAVA开发工程师[广州-番禺区],1-3年,"五险一金,年底双薪,绩效奖金,股票期权,包住,通讯补助,弹性工作,补充医疗保险",6K-8K,本科,全职,443.42855999999995,6000.0,8000.0,7000.0,广州
3343,3343,3344,上海新晨信息集成系统有限公司,上市公司,上海,500-999人,JAVA开发工程师（唐镇）,3-5年,"五险一金,年底双薪,餐补,定期体检",8K-16K,本科,全职,443.20312,8000.0,16000.0,12000.0,上海
3344,3344,3345,山谷网安科技股份有限公司,股份制企业,郑州,100-499人,高级Java开发工程师,5-10年,"每年多次调薪,五险一金,年底双薪,绩效奖金,通讯补助,定期体检,员工旅游,节日福利",10K-15K,本科,全职,443.18338,10000.0,15000.0,12500.0,郑州
3345,3345,3346,北京明月软件技术有限公司,民营,济南-历下区,100-499人,java开发工程师,3-5年,"五险一金,绩效奖金",10K-15K,大专,全职,443.11199999999997,10000.0,15000.0,12500.0,济南
3346,3346,3347,北京四方联众区块链技术有限公司,民营,上海,100-499人,java开发工程师,5-10年,"五险一金,加班补助",12K-15K,本科,全职,443.1,12000.0,15000.0,13500.0,上海
3347,3347,3348,北京安盈创卓科技有限公司,民营,北京,20-99人,java开发工程师（中/高级）,5-10年,"Java,ERP,周末双休,五险一金,交通补助,餐补,通讯补助,带薪年假,绩效奖金,节日福利",13K-18K,大专,全职,443.036,13000.0,18000.0,15500.0,北京
3348,3348,3349,山东车微联信息技术股份有限公司,股份制企业,济南,100-499人,java开发工程师,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,带薪年假,定期体检,节日福利",6K-10K,大专,全职,442.94,6000.0,10000.0,8000.0,济南
3349,3349,3350,重庆隆携信息技术有限公司,民营,重庆,20-99人,java开发工程师,3-5年,"五险一金,员工旅游,绩效奖金,年底双薪,节日福利,高温补贴,定期体检",8K-10K,大专,全职,442.856,8000.0,10000.0,9000.0,重庆
3350,3350,3351,天津达阵教育科技有限公司,股份制企业,天津,20-99人,PHP/JAVA开发工程师助理 季度奖金 员工旅游,不限,"包住,五险一金,周末双休,交通补助,全勤奖,弹性工作,不加班,节日福利",4K-6K,中专,全职,442.78552,4000.0,6000.0,5000.0,天津
3351,3351,3352,北京小飞侠科技有限公司,其它,北京,20-99人,java开发工程师,3-5年,"创业公司,五险一金,年终分红,加班补助",15K-30K,本科,全职,442.712,15000.0,30000.0,22500.0,北京
3352,3352,3353,江西云成科技有限公司,民营,南昌,20-99人,Java开发方向程序员（实习生/助理）,不限,"五险一金,包住,绩效奖金,带薪年假,弹性工作,补充医疗保险,员工旅游,节日福利",3K-5K,不限,全职,442.66666,3000.0,5000.0,4000.0,南昌
3353,3353,3354,株式会社Launchope,外商独资,大连,100-499人,赴日JAVA开发急招10人,3-5年,,20K-30K,大专,全职,442.58065999999997,20000.0,30000.0,25000.0,大连
3354,3354,3355,烟台一心信息技术有限公司,民营,烟台,20-99人,java开发工程师,1-3年,"创业公司,五险一金,弹性工作,定期体检,员工旅游,绩效奖金",6K-10K,大专,全职,442.55524,6000.0,10000.0,8000.0,烟台
3355,3355,3356,上海安硕信息技术股份有限公司,上市公司,天津,10000人以上,JAVA开发工程师（天津）,无经验,"五险一金,绩效奖金,加班补助,餐补,带薪年假,定期体检,节日福利",5K-10K,本科,全职,442.528,5000.0,10000.0,7500.0,天津
3356,3356,3357,山东高数网络科技有限公司,民营,济南,500-999人,Java软件开发工程师,不限,"五险一金,带薪年假,节日福利,周末双休,包住,绩效奖金,不加班,每年多次调薪",4K-6K,大专,全职,442.51199999999994,4000.0,6000.0,5000.0,济南
3357,3357,3358,上海卓致信息技术有限公司,民营,上海-徐汇区,20-99人,开发工程师(JAVA),1-3年,"五险一金,绩效奖金,餐补,带薪年假,定期体检,员工旅游",6K-8K,大专,全职,442.44800000000004,6000.0,8000.0,7000.0,上海
3358,3358,3359,山东松园法宝智能科技股份有限公司,不限,泰安,20人以下,java/web开发,不限,"餐补,弹性工作,五险一金,节日福利,员工旅游,创业公司,全勤奖,大牛带队",4K-8K,本科,全职,442.34607,4000.0,8000.0,6000.0,泰安
3359,3359,3360,重庆腾祥文化传媒有限公司,民营,重庆,20-99人,初级java开发工程师助理,不限,"五险一金,年底双薪,绩效奖金,节日福利,周末双休,餐补,交通补助,带薪年假",4K-6K,大专,全职,442.3004,4000.0,6000.0,5000.0,重庆
3360,3360,3361,北京博明信德科技有限公司,股份制企业,长沙-岳麓区,100-499人,JAVA开发工程师  地点：湖南长沙,不限,"带薪年假,员工旅游,节日福利",5K-10K,本科,全职,442.2857,5000.0,10000.0,7500.0,长沙
3361,3361,3362,北京中科金财科技股份有限公司,上市公司,北京-西城区,1000-9999人,高级java开发工程师,5-10年,"五险一金,补充医疗保险,餐补,定期体检,带薪年假",20K-30K,本科,全职,442.0,20000.0,30000.0,25000.0,北京
3362,3362,3363,北京中科金财科技股份有限公司,上市公司,锦州,1000-9999人,java开发工程师,3-5年,"J2EE,五险一金,餐补,包住,补充医疗保险",7K-14K,本科,全职,442.0,7000.0,14000.0,10500.0,锦州
3363,3363,3364,中软博创(北京)科技有限公司,民营,北京,100-499人,java+大数据开发,不限,"创业公司,14薪,五险一金,周末双休,带薪年假,住房补贴,节日福利,绩效奖金",8K-10K,大专,全职,441.816,8000.0,10000.0,9000.0,北京
3364,3364,3365,浙江华策影视股份有限公司,上市公司,杭州,1000-9999人,高级java开发工程师,1-3年,"五险一金,绩效奖金,带薪年假,公司重点项目",14K-18K,本科,全职,441.4676,14000.0,18000.0,16000.0,杭州
3365,3365,3366,希望启程网络科技(沈阳)有限公司,其它,沈阳,20-99人,中级JAVA开发工程师,3-5年,"五险一金,绩效奖金,餐补,节日福利,周末双休",8K-10K,不限,全职,441.42800000000005,8000.0,10000.0,9000.0,沈阳
3366,3366,3367,成都楷码信息技术有限公司,合资,成都,20-99人,java开发工程师(接受应届生),1-3年,"周末双休,五险一金,交通补助,餐补,定期体检,节日福利,带薪年假",5K-10K,大专,全职,441.32364,5000.0,10000.0,7500.0,成都
3367,3367,3368,成都信必优信息技术有限公司,合资,重庆-江北区,100-499人,Java开发工程师,3-5年,"Springcloud ,微服务,Oracle,五险一金,年底双薪,带薪年假,补充医疗保险,节日福利",10K-18K,大专,全职,441.284,10000.0,18000.0,14000.0,重庆
3368,3368,3369,福建摩尔软件有限公司,股份制企业,福州,100-499人,高级JAVA开发工程师,5-10年,"Java,mvc springboot,每年多次调薪,周末双休,五险一金,年底双薪,节日福利,员工旅游,带薪年假",10K-20K,本科,全职,441.23199999999997,10000.0,20000.0,15000.0,福州
3369,3369,3370,上海共睿信息技术有限公司,民营,上海-长宁区,100-499人,Java中级开发工程师,3-5年,"MySQL,JS,五险一金,年底双薪,节日福利,带薪年假,周末双休",10K-15K,本科,全职,441.19199999999995,10000.0,15000.0,12500.0,上海
3370,3370,3371,中电科技(北京)有限公司,国企,上海,100-499人,Java开发工程师,3-5年,"五险一金,交通补助,餐补,通讯补助,定期体检",10K-15K,本科,全职,441.15262,10000.0,15000.0,12500.0,上海
3371,3371,3372,北京中能博泰科技有限公司,民营,西安,100-499人,初级java开发工程师,不限,"Java,Spring,五险一金,周末双休,绩效奖金,每年多次调薪",6K-8K,本科,全职,441.00543,6000.0,8000.0,7000.0,西安
3372,3372,3373,广州智能科技发展有限公司,民营,广州-天河区,100-499人,高级java开发工程师,3-5年,"节日福利,五险一金,绩效奖金,补充医疗保险,定期体检,员工旅游",12K-18K,本科,全职,440.964,12000.0,18000.0,15000.0,广州
3373,3373,3374,重庆奇云科技有限公司,民营,重庆,20-99人,java开发工程师,不限,"五险一金,绩效奖金,餐补,带薪年假,弹性工作,定期体检,员工旅游,节日福利",5K-8K,本科,全职,440.89856,5000.0,8000.0,6500.0,重庆
3374,3374,3375,天津市国瑞数码安全系统股份有限公司北京办事处,民营,广州-越秀区,100-499人,java开发工程师,1-3年,"五险一金,餐补,带薪年假,定期体检,弹性工作,节日福利,员工旅游,股票期权",10K-20K,本科,全职,440.63217000000003,10000.0,20000.0,15000.0,广州
3375,3375,3376,大连云端互动科技有限公司,民营,日本,20-99人,赴日JAVA开发急招10人,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,交通补助,餐补,带薪年假,节日福利",20K-30K,大专,全职,440.58105,20000.0,30000.0,25000.0,日本
3376,3376,3377,上海惟常电子科技有限公司,民营,上海,100-499人,初级JAVA开发,不限,"五险一金,包吃,包住,带薪年假,周末双休,每年多次调薪,不加班,高温补贴",6K-8K,大专,全职,440.53235,6000.0,8000.0,7000.0,上海
3377,3377,3378,中电科安科技股份有限公司,股份制企业,北京,100-499人,JAVA开发工程师,3-5年,"五险一金,年底双薪,通讯补助,带薪年假",10K-20K,本科,全职,440.50800000000004,10000.0,20000.0,15000.0,北京
3378,3378,3379,四川格睿泰思信息科技有限公司,股份制企业,成都-武侯区,100-499人,JAVA/IOS/Android等方向开发实习生,无经验,"五险一金,绩效奖金,全勤奖,包住,带薪年假,弹性工作,员工旅游,节日福利",2.5K-4.5K,大专,实习,440.404,2500.0,4500.0,3500.0,成都
3379,3379,3380,河南云和数据信息技术有限公司西安分公司,民营,西安,100-499人,零基础JAVA开发工程师双休,不限,"周末双休,五险一金,绩效奖金,带薪年假,不加班,节日福利,员工旅游,年底双薪",3K-5K,大专,全职,440.31958,3000.0,5000.0,4000.0,西安
3380,3380,3381,华仁药业股份有限公司,上市公司,青岛-崂山区,1000-9999人,JAVA 中级开发工程师,3-5年,"五险一金,绩效奖金,股票期权,交通补助,餐补,定期体检,免费班车,节日福利",6K-8K,大专,全职,440.292,6000.0,8000.0,7000.0,青岛
3381,3381,3382,山谷网安科技股份有限公司,股份制企业,郑州,100-499人,Java开发工程师,1-3年,"节日福利,年底双薪,绩效奖金,通讯补助,定期体检,员工旅游",6K-10K,本科,全职,440.28405999999995,6000.0,10000.0,8000.0,郑州
